"NOTA: nenhuma das refeicoes listadas abaixo esta ativa hoje no catalogo (todas ja foram desativadas anteriormente por causa do mesmo defeito de offset). Isto e revisao de recuperacao de catalogo para reativacao futura, nao incendio ativo - nao ha usuario recebendo essas refeicoes agora. O ritmo de trabalho pode ser o de revisao cuidadosa, sem urgencia de resposta."
"Nome_da_Receita";"Ingrediente_Encontrado_Hoje";"Ingrediente_Sugerido_pelo_Texto";"Ativa";"Decisao_Nutricionista"
"Coxinha Fit de Batata Doce";"Arroz integral cozido";"Batata doce";"NÃO";""
"Bife a Cavalo com Batata Doce";"Arroz integral cozido";"Batata doce";"NÃO";""
"Panqueca de Batata Doce";"Arroz integral cozido";"Batata doce";"NÃO";""
"Ovo Cozido com Batata Doce Amassada";"Arroz integral cozido";"Batata doce";"NÃO";""
"Prato Feito (Arroz, Feijão e Bife)";"Batata doce cozida";"Arroz";"NÃO";""
"Strogonoff de Frango com Arroz";"Batata doce cozida";"Arroz";"NÃO";""
"Arroz Branco com Ovos Cozidos";"Batata doce cozida";"Arroz";"NÃO";""
"Sushi Bowl (Desconstruído)";"Batata doce cozida";"Arroz (base tradicional de sushi)";"NÃO";""
"Moqueca Leve de Cação e Banana-da-Terra";"Maçã";"Banana-da-terra (ausente do catálogo)";"NÃO";""
"Mingau de Maizena (Amido de Milho)";"Arroz branco cozido";"Amido de milho / Maizena (ausente do catálogo)";"NÃO";""
"Pipoca Feita na Água";"Pão francês";"Milho de pipoca cru (ausente do catálogo)";"NÃO";""

"SECAO: glúten presente, origem não explicada — as 3 refeições abaixo têm farinha de trigo entre os ingredientes reais, mas o nome da receita não menciona nada relacionado a trigo/glúten/pão/massa. Pergunta para a nutricionista responder por linha: o glúten faz sentido nessa receita, ou é resíduo do mesmo defeito de offset já documentado acima?"
"Meal_ID";"Nome_da_Receita";"Ativa";"Ingredientes_Reais_Atuais";"Decisao_Nutricionista"
"meal_020";"Tofu Defumado com Arroz Integral";"NÃO";"Tofu defumado (100g); Milho cozido (100g); Farinha de trigo (100g)";""
"meal_102";"Frango ao Curry com Leite de Coco";"NÃO";"Peito de frango grelhado (150g); Leite de coco - bebida (100ml); Cúrcuma / Açafrão-da-terra (5g); Farinha de trigo (100g)";""
"meal_150";"Atum com Legumes no Vapor";"NÃO";"Atum em lata natural (100g); Farinha de trigo (50g); Polenta cozida (50g)";""
