exercise_id,id,name_ptbr,name_en,name_fr,instruction_ptbr,instruction_en,instruction_fr,muscle_groups_ids,muscle_groups_nomes,exercise_equipments_ids,exercise_equipments_nomes,exercise_level_id,exercise_level_nome,avoid_health_conditions_ids,avoid_health_conditions_nomes,caution_health_condition_ids,caution_health_condition_nomes,ambiente_permitido,calories,image_url,video_url
ex_011,ec8bb23f-9048-4c7e-a2b7-ba3129d911e0,Avanço com barra,Barbell Lunge,Fente avec barre,"Coloque a barra nas costas, dê um passo à frente, flexione os joelhos em 90° e volte à posição inicial.","Hold bar on back, step forward bending knees, return to start.","Barre sur le dos, avancez en pliant les genoux, revenez au début.",quadriceps; core; hamstrings; glutes,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),bar_fixed_bar,barra/barra fixa,advanced,Avançado,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; cervical_hernia; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hérnia Cervical; Hipertensão ; Joelho; Lombar; Obesidade ; Pescoço; Pós-parto,Casa (com equipamento); Academia,185,,https://drive.google.com/file/d/1EUfDonJ4XlfavsZUS33CKPm-sKYGiLKq/view?usp=sharing
ex_012,bf6ac109-2014-49b7-a0ea-21ab8c6934e9,Thruster (agachamento com push press),Thruster (Squat + Push Press),Thruster (Squat + Développé),"Agache com a barra e, ao subir, faça o movimento de empurrar a barra acima da cabeça.","Hold bar at shoulders, squat then push bar overhead.","Tenez la barre aux épaules, accroupissez-vous puis poussez la barre au-dessus de la tête.",quadriceps; core; hamstrings; glutes,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),bar_fixed_bar; dumbbells,halteres; barra/barra fixa,advanced,Avançado,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,240,,https://drive.google.com/file/d/122oNeS3cT0mMqcO58DyxYR7DhJhxnUOB/view?usp=sharing
ex_013,af5d12e4-aad5-4561-a34a-aadd15c1e50a,Wall ball,Wall Ball,Lancer de ballon contre le mur,"Segure a bola próxima ao peito, agache e ao subir lance a bola contra a parede.","Squat holding ball, explosively throw it at wall, catch and repeat.","Accroupissez-vous avec le ballon, lancez-le explosivement contre le mur, rattrapez et répétez.",quadriceps,Quadríceps,medicine_ball,medicine ball,intermediate,Intermediário,none,Nenhuma,none,Nenhuma,Casa (com equipamento); Academia,230,,https://drive.google.com/file/d/1UcpkTEhMSHkDYQblYiCMjIIH3Ts5zC38/view?usp=sharing
ex_014,7c526638-147b-461b-a129-55592f811141,Front squat com barra olímpica,Olympic Bar Front Squat,Squat avant avec barre olympique,"Apoie a barra olímpica na frente dos ombros, mantenha o tronco ereto, agache e retorne.","Hold bar at shoulders, squat down keeping back straight, return up.","Tenez la barre aux épaules, descendez en squat en gardant le dos droit, revenez.",quadriceps,Quadríceps,bar_fixed_bar,barra/barra fixa,advanced,Avançado,none,Nenhuma,cervical_hernia,Hérnia Cervical; Pescoço,Casa (com equipamento); Academia,200,,https://drive.google.com/file/d/1N7X3A5mzF1H95Njktr2jo-wwp-JkpEyG/view?usp=sharing
ex_015,88676c0b-71fc-4208-9852-5beb532bb2f2,Box step-up com peso,Weighted Box Step-Up,Montée sur caisse avec poids,"Segure pesos nas mãos, suba em um banco ou caixa com uma perna de cada vez e retorne ao chão.","Step on box holding weight, extend leg, return to floor, alternate legs.","Montez sur la boîte avec un poids, étendez la jambe, redescendez, alternez les jambes.",quadriceps; glutes; calves; core,Core (Geral); Quadríceps; Glúteos (Geral); Panturrilhas,box; bench,banco; caixa,intermediate,Intermediário,none,Nenhuma,none,Nenhuma,Casa (com equipamento); Academia,210,,https://drive.google.com/file/d/1bXRuDLe_PhkXTbVIPdjsm6qi4Ex-A3f-/view?usp=sharing
ex_016,4f183181-046d-443a-8768-fe342852f662,Agachamento búlgaro com halteres,Bulgarian Split Squat with Dumbbells,Fente bulgare avec haltères,"Com um pé apoiado atrás em um banco, segure halteres e flexione a perna da frente em 90°.","Hold dumbbells, place one foot back, bend front knee at 90°, return up.","Tenez des haltères, placez un pied derrière, pliez le genou avant à 90°, revenez.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),dumbbells,halteres,intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,185,,https://drive.google.com/file/d/1BwQCr18xcJWuJHDnzldHYfGpBOEzT59d/view?usp=sharing
ex_017,ed6e51da-ef43-473e-be31-c10519946d48,Agachamento búlgaro com barra,Bulgarian Split Squat with Barbell,Fente bulgare avec barre,"Com um pé apoiado atrás, posicione a barra nas costas, flexione a perna da frente em 90° e suba.","Hold bar on shoulders, place one foot back, bend front knee, return up.","Tenez la barre sur les épaules, placez un pied derrière, pliez le genou avant, revenez.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),bar_fixed_bar,barra/barra fixa,advanced,Avançado,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; cervical_hernia; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hérnia Cervical; Hipertensão ; Joelho; Lombar; Obesidade ; Pescoço; Pós-parto,Casa (com equipamento); Academia,200,,https://drive.google.com/file/d/1855cWB_H8tdsIK3w352artNTX7PjNbjR/view?usp=sharing
ex_018,888deb7e-8cba-4dd8-b9ad-96b0259e1a3e,Agachamento isométrico (cadeirinha),Wall Sit (Isometric Squat),Chaise (Squat isométrique),"Encoste as costas na parede, flexione os joelhos em 90° e mantenha a posição parada.","Lean back on wall, bend knees at 90°, hold seated position.","Adossez-vous au mur, pliez les genoux à 90°, maintenez la position assise.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),none_bodyweight,nenhum (peso do corpo),beginner,Iniciante,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (sem equipamento); Casa (com equipamento); Academia; Ar Livre,130,,https://drive.google.com/file/d/1qh-qE5io_HJRRI_Kf1J8zAckX5vuwkqe/view?usp=sharing
ex_019,7b796989-0713-4ecd-aa5d-00436576b88c,Cossack squat,Cossack Squat,Squat cosaque,"Afaste bem as pernas, flexione um joelho de cada vez mantendo o outro estendido, alternando os lados.","Step wide to side, squat one leg keeping other extended, return.","Faites un grand pas de côté, accroupissez une jambe en gardant l’autre tendue, revenez.",glutes; adductors,Glúteos (Geral); Adutores,none_bodyweight,nenhum (peso do corpo),intermediate,Intermediário,none,Nenhuma,none,Nenhuma,Casa (sem equipamento); Casa (com equipamento); Academia; Ar Livre,170,,https://drive.google.com/file/d/1H1v8LbgQ2TO-2AE6VFwxWHOiCcxxVlcw/view?usp=sharing
ex_020,6d5273fb-7451-4eb4-9533-86f67a216fba,Agachamento búlgaro,Bulgarian Split Squat,Fente bulgare,"Com um pé apoiado atrás em um banco, flexione a perna da frente em 90° e suba novamente.","Place one foot back, bend front knee, return up.","Placez un pied derrière, pliez le genou avant, revenez debout.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),none_bodyweight; bench,nenhum (peso do corpo); banco,intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,160,,https://drive.google.com/file/d/1dUWtm-A-AYQB9f8hmSkuje79DV6wqc8W/view?usp=sharing
ex_021,901b30b9-74cb-47de-9e3f-5d7547e0ba63,Agachamento com salto (Jump Squat),Jump Squat,Squat sauté,"Agache normalmente e, ao subir, faça um salto, retornando em seguida à posição de agachamento.","Squat down and jump explosively, land softly and repeat.","Accroupissez-vous puis sautez explosivement, atterrissez doucement et répétez.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),none_bodyweight,nenhum (peso do corpo),intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (sem equipamento); Casa (com equipamento); Academia; Ar Livre,180,,https://drive.google.com/file/d/19ZqW_cgauCD0LfBYfEfC3Pdyc-Q-zirT/view?usp=sharing
ex_022,20db20dc-7b60-4e66-b664-41f8968c8e4b,Wall Sit (agachamento isométrico na parede),Wall Sit,Chaise au mur,"Encoste as costas na parede, flexione os joelhos em 90° e mantenha-se parado.","Lean back on wall, bend knees at 90°, hold position.","Adossez-vous au mur, pliez les genoux à 90°, maintenez la position.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),wall,parede,beginner,Iniciante,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,130,,https://drive.google.com/file/d/1M9gXOixGp6YPaqhAvfMp40Q34_hhYp0Z/view?usp=sharing
ex_023,1172e82f-a64a-45f8-a4d9-c97bb810c4d8,Step-up no degrau,Step-Up,Montée sur banc,"Suba em um degrau ou caixa com uma perna de cada vez, mantendo o tronco ereto.","Step on bench with one leg, extend knee fully, return down.","Montez sur un banc avec une jambe, étendez le genou, redescendez.",quadriceps; glutes; calves; core,Core (Geral); Quadríceps; Glúteos (Geral); Panturrilhas,step; bench,step; banco,beginner,Iniciante,none,Nenhuma,none,Nenhuma,Casa (com equipamento); Academia,150,,https://drive.google.com/file/d/1Hm12j67F27uU1cOgtHmxytfTMELcSqtS/view?usp=sharing
ex_024,beb014e2-8616-448d-88aa-214584ed8a4f,lunge Passada,Lunge,Fente,"Dê um passo à frente, flexione os joelhos em 90° e retorne, alternando as pernas.","Step forward bending knees, return to start position.","Avancez en pliant les genoux, revenez à la position initiale.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),none_bodyweight,nenhum (peso do corpo),intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (sem equipamento); Casa (com equipamento); Academia; Ar Livre,170,,https://drive.google.com/file/d/1tTyu8-05zIvzMYrsxVfVPjVWjSLKuc9n/view?usp=sharing
ex_025,adca7696-5b97-401d-8508-cab363a9fff9,Agachamento com elástico (miniband),Resistance Band Squat (Miniband),Squat avec élastique (minibande),"Coloque a miniband nas pernas acima dos joelhos, agache mantendo a tensão no elástico e retorne.","Place miniband around thighs, squat keeping tension on band.","Placez une minibande sur les cuisses, accroupissez-vous en gardant la tension.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),elastic_band_mini_band,faixa elástica/miniband,beginner,Iniciante,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,160,,https://drive.google.com/file/d/1azNYVHnb5xt_PfZBUzKRY5fRS5wyzW07/view?usp=sharing
ex_026,e35fba08-3506-4e3a-bbe4-52e14a03f374,Avanço com halteres,Dumbbell Lunge,Fente avec haltères,"Segure os halteres, dê um passo à frente, flexione os joelhos em 90° e volte à posição inicial.","Hold dumbbells, step forward bending knees, return up.","Tenez des haltères, avancez en pliant les genoux, revenez.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),dumbbells,halteres,intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,180,,https://drive.google.com/file/d/1STTwyRl7qzHKJiC4r17bKwJTp6lm6Bmg/view?usp=sharing
ex_027,57947dc0-c8d3-44a2-9441-47a5119aa699,Cadeira extensora unilateral,Unilateral Leg Extension,Extension de jambe unilatérale,"Na máquina, execute a extensão de apenas uma perna por vez.","Use one leg at extension machine, extend knee upward.","Utilisez une jambe à la machine d’extension, étendez le genou vers le haut.",quadriceps,Quadríceps,leg_extension,cadeira extensora,beginner,Iniciante,none,Nenhuma,none,Nenhuma,Academia,140,,https://drive.google.com/file/d/1rh7lscY6IK2NarYrKw9McZEMxwE9xdbs/view?usp=sharing
ex_028,61bc8f0a-b8a0-46ce-b694-bdde969976dd,Leg Press 45°,45° Leg Press,Presse à cuisses 45°,"Na máquina 45°, apoie os pés na plataforma e empurre, estendendo as pernas.","Sit at 45° leg press, push platform, extend knees, return.","Asseyez-vous à la presse à 45°, poussez la plateforme, étendez les genoux, revenez.",quadriceps; glutes; hamstrings,Quadríceps; Isquiotibiais; Glúteos (Geral),leg_press,leg press,intermediate,Intermediário,none,Nenhuma,none,Nenhuma,Academia,170,,https://drive.google.com/file/d/1jnsbIahbMiLAl7kaSl36dEd_YnFNiSMD/view?usp=sharing
ex_029,269b3e3a-c5db-407a-aa21-8326c830d5e5,Hack Squat,Hack Squat,Hack Squat,"Na máquina Hack, posicione os ombros nos apoios, flexione os joelhos e retorne estendendo as pernas.","Stand on hack squat machine, bend knees, extend back up.","Sur la machine hack squat, pliez les genoux puis revenez en extension.",quadriceps; glutes; hamstrings,Quadríceps; Isquiotibiais; Glúteos (Geral),smith_machine,barra guiada (smith),advanced,Avançado,none,Nenhuma,none,Nenhuma,Academia,160,,https://drive.google.com/file/d/1Wt6jq77h95wtgyMdSTVu5xBkuEWjWTqv/view?usp=sharing
ex_030,deb8cddb-8af4-4873-9cd1-baaedae03da3,Agachamento frontal com halteres,Dumbbell Front Squat,Squat avant avec haltères,"Segure um halter em cada ombro, agache mantendo a coluna ereta e suba novamente.","Hold dumbbells in front, squat bending knees, return standing.","Tenez des haltères devant, accroupissez-vous puis revenez debout.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),dumbbells,halteres,advanced,Avançado,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; cervical_hernia; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hérnia Cervical; Hipertensão ; Joelho; Lombar; Obesidade ; Pescoço; Pós-parto,Casa (com equipamento); Academia,190,,https://drive.google.com/file/d/1_2VZqPJXSu_FfSd0fmjCx4PrpEJWJ1ZZ/view?usp=sharing
ex_031,fecb86a6-7704-446f-bd1f-2d36777cf6a2,Avanço com step  no Smith Machine,Smith Machine Step Lunge,Fente avec step à la Smith Machine,"No Smith, posicione a barra nas costas, dê um passo sobre o step, flexione o joelho e retorne.","Step forward onto smith machine step, bend knees, return.","Avancez sur la marche de la machine Smith, pliez les genoux, revenez.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),smith_machine; step,step; barra guiada (smith),intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Academia,180,,https://drive.google.com/file/d/1ze6gPeFzirbo66eRCQS0ICS1J_TCAg2R/view?usp=sharing
ex_032,4776920c-f7da-497d-9db3-f6aa1bee05d0,Passada lateral em posição de agachamento,Lateral Lunge (Squat Position),Fente latérale en position de squat,Fique em posição de agachamento e dê passos laterais mantendo os joelhos flexionados.,"Step laterally, squat keeping tension, return to start.","Faites un pas latéral, accroupissez-vous en gardant la tension, revenez.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),none_bodyweight,nenhum (peso do corpo),intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (sem equipamento); Casa (com equipamento); Academia; Ar Livre,160,,https://drive.google.com/file/d/15rXH9x0Zq8PLPrVTgG_vZeC6fNl_wtCu/view?usp=sharing
ex_033,22d4111d-4306-4152-8b41-412e51127010,Back Squat,Back Squat,Squat arrière,"Apoie a barra nas costas, flexione os joelhos descendo o quadril e retorne.","Bar on back, squat down, extend knees and return standing.","Barre sur le dos, accroupissez-vous puis remontez en tendant les genoux.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),bar_fixed_bar,barra/barra fixa,advanced,Avançado,none,Nenhuma,none,Nenhuma,Casa (com equipamento); Academia,195,,https://drive.google.com/file/d/1CEqMW9YDIonDP_KRn_chO5eNGxFDOWah/view?usp=sharing
ex_034,ddd190be-67e4-48af-9ded-f077020d18c6,Box Squat (peso corporal),Bodyweight Box Squat,Box Squat au poids du corps,Sente-se levemente em uma caixa ou banco sem relaxar e volte à posição em pé.,"Sit on box, stand up using bodyweight, return sitting.","Asseyez-vous sur la boîte, levez-vous avec le poids du corps, asseyez-vous de nouveau.",quadriceps; glutes; core,Core (Geral); Quadríceps; Glúteos (Geral),box; bench,banco; caixa,beginner,Iniciante,none,Nenhuma,none,Nenhuma,Casa (com equipamento); Academia,150,,https://drive.google.com/file/d/12dCae3oGIbSEoGbVDXr82hYdtD1CIU5R/view?usp=sharing
ex_035,12d79343-576c-4af6-9596-6a6f86fed10e,Box Squat com halteres,Dumbbell Box Squat,Box Squat avec haltères,"Segure halteres, sente-se levemente na caixa e retorne em pé.","Hold dumbbells, sit on box, stand up and return sitting.","Avec haltères, asseyez-vous sur la boîte, levez-vous, asseyez-vous de nouveau.",quadriceps; glutes; core,Core (Geral); Quadríceps; Glúteos (Geral),dumbbells; box; bench,halteres; banco; caixa,intermediate,Intermediário,none,Nenhuma,none,Nenhuma,Casa (com equipamento); Academia,160,,https://drive.google.com/file/d/1KDoKCuyQh9A30CdV6cB-mLqgjJY9azqj/view?usp=sharing
